Orderable Part Number,Description,Product Line,Brand,Production Site,Date Created,Date Updated,Pricing Valid Until,Country of Origin (COO),4-Jan,9-May,24-Sep,25 - 49,50 - 99,100 - 249,250 - 499,500 - 999,1000 - 2499,2500 - 4999,5000 - 9999,10000 - 24999,25000 - 49999,50000 - 99999,100000 - 249999,250000 - 499999,500000 - 999999
ADP09731,Custom Surface Mount filter,RF,Boreal,KCC - A20,12/11/2026,4/19/2027,11/30/2025,Mexico,$450.00 ,$425.38 ,$400.75 ,$376.13 ,$351.50 ,$326.88 ,$302.25 ,$277.63 ,$253.00 ,$228.38 ,$203.75 ,$179.13 ,$154.50 ,$129.88 ,$105.25 ,$80.63 ,$56.00 
ADP12003,Custom Broadband passive network,Ceramics,Dynex,Plant West,12/12/2026,1/7/2027,9/20/2027,France,$414.00 ,$392.56 ,$371.13 ,$349.69 ,$328.25 ,$306.81 ,$285.38 ,$263.94 ,$242.50 ,$221.06 ,$199.63 ,$178.19 ,$156.75 ,$135.31 ,$113.88 ,$92.44 ,$71.00 
ADP11997,Custom RF signal conditioning module,Microwave,Cirrus,KCC - A30,12/13/2026,3/28/2026,4/12/2027,United Kingdom,$396.00 ,$374.56 ,$353.13 ,$331.69 ,$310.25 ,$288.81 ,$267.38 ,$245.94 ,$224.50 ,$203.06 ,$181.63 ,$160.19 ,$138.75 ,$117.31 ,$95.88 ,$74.44 ,$53.00 
ADP11998,Custom High-frequency surface mount filter,RF,Fluxis,Plant East,12/14/2026,3/22/2027,4/22/2028,USA,$433.00 ,$410.06 ,$387.13 ,$364.19 ,$341.25 ,$318.31 ,$295.38 ,$272.44 ,$249.50 ,$226.56 ,$203.63 ,$180.69 ,$157.75 ,$134.81 ,$111.88 ,$88.94 ,$66.00 
ADP11871,Custom Low-loss ceramic RF device,RF,Boreal,KCC - A20,5/7/2026,12/16/2026,5/21/2028,Mexico,$328.00 ,$311.06 ,$294.13 ,$277.19 ,$260.25 ,$243.31 ,$226.38 ,$209.44 ,$192.50 ,$175.56 ,$158.63 ,$141.69 ,$124.75 ,$107.81 ,$90.88 ,$73.94 ,$57.00 
ADP10775,Custom Broadband passive network,RF,Fluxis,KCC - A20,5/8/2026,3/4/2025,4/3/2028,USA,$476.00 ,$449.88 ,$423.75 ,$397.63 ,$371.50 ,$345.38 ,$319.25 ,$293.13 ,$267.00 ,$240.88 ,$214.75 ,$188.63 ,$162.50 ,$136.38 ,$110.25 ,$84.13 ,$58.00 
ADP11873,Custom Broadband passive network,RF,Boreal,KCC - A20,5/9/2026,3/18/2027,12/16/2027,Mexico,$423.00 ,$400.25 ,$377.50 ,$354.75 ,$332.00 ,$309.25 ,$286.50 ,$263.75 ,$241.00 ,$218.25 ,$195.50 ,$172.75 ,$150.00 ,$127.25 ,$104.50 ,$81.75 ,$59.00 
ADP11870,Custom Precision microwave component,Components,Everon,Plant East,3/9/2026,1/29/2026,11/26/2027,Japan,$333.00 ,$318.31 ,$303.63 ,$288.94 ,$274.25 ,$259.56 ,$244.88 ,$230.19 ,$215.50 ,$200.81 ,$186.13 ,$171.44 ,$156.75 ,$142.06 ,$127.38 ,$112.69 ,$98.00 
ADP11872,Custom Precision microwave component,Components,Aster,KCC - A10,3/10/2026,10/12/2026,10/4/2027,Japan,$396.00 ,$376.06 ,$356.13 ,$336.19 ,$316.25 ,$296.31 ,$276.38 ,$256.44 ,$236.50 ,$216.56 ,$196.63 ,$176.69 ,$156.75 ,$136.81 ,$116.88 ,$96.94 ,$77.00 
ADP09387,High-frequency surface mount filter,RF,Everon,Plant B,3/18/2025,7/19/2025,8/17/2029,Canada,$300.00 ,$285.29 ,$270.59 ,$255.88 ,$241.18 ,$226.47 ,$211.76 ,$197.06 ,$182.35 ,$167.65 ,$152.94 ,$138.24 ,$123.53 ,$108.82 ,$94.12 ,$79.41 ,$64.71 
