Opportunity,Product Line,Quote: Quote Number,Quote: Created Date,Quote Line: Line Name,Account Name,Account Type,Status,Approval Status,Quote: Owner Name,Payment Terms,Bill To Country,Ship To Country,Part Number,Lead Time (weeks),Quantity,Net Unit Price,Net Total,Regional Sales Manager,Sales Rep,CS Office,Channel,Approved Date,Business Unit,Distributor,Email DateTime Stamp,End Date,Expires On,Internal Notes,Line Item Count,OPNUM,Original Quote,PLM Approval Required,QTAT (Business Days),Quote Approved Date Time Stamp,QuoteNum,Quote Presented DateTimeStamp,Quote Submitted For Approval Date Time,Quote TAT Days,Quote Line: Last Modified Date,Quote Line: Created Date,Line Note,MOQ Tier,Quote Year,Qtr,Yr_Qtr
Synthetic Opportunity 00006,MICROWAVE,Q-400006,6/17/2024,QL-8000006,Synthetic Account 7,Customer,Accepted,Not Required,Synthetic User 7,Net 30,,Canada,ADP12055,10 weeks,1222,$376.79 ,"$460,437.38 ",Synthetic User 7,Synthetic User 7,Office 7,Distribution,46274,RF,,45307.66597,,45329,Synthetic note for record 00006,2476,OP270000002494,,,2552,45406.78472,QN270000002589,45428.81111,,,45461,45472,Synthetic note for record 00006,2723,2742,Synthetic Qtr 00006,Synthetic Yr_Qtr 00006
Synthetic Opportunity 00004,AMPLIFIERS,Q-400004,5/14/2024,QL-8000004,Synthetic Account 5,Prospect,Presented,Pending,Synthetic User 5,Prepaid,,Japan,ADP12054,8 weeks,948,$325.91 ,"$119,362.68 ",Synthetic User 5,Synthetic User 5,Office 5,Distribution,46240,CS,,46273.47569,,45295,Synthetic note for record 00004,2202,OP270000002220,,,2278,45372.59444,QN270000002315,45394.62083,,,45427,45438,Synthetic note for record 00004,2449,2468,Synthetic Qtr 00004,Synthetic Yr_Qtr 00004
Synthetic Opportunity 04139,FILTERS,Q-404139,3/5/2025,QL-8004139,Synthetic Account 240,Distributor,Expired,Approved,Synthetic User 40,Net 45,Japan,Germany,ADP12055-T,15 weeks,7443,$283.07 ,"$2,106,890.01 ",Synthetic User 40,Synthetic User 40,Office 10,Direct,45535,MW,,45568.875,,45590,Synthetic note for record 04139,8697,OP270000568715,,Yes,8773,45667.99375,QN270000568810,45689.02014,45700.03333,8868,45722,45733,Synthetic note for record 04139,8944,3963,Synthetic Qtr 04139,Synthetic Yr_Qtr 04139
Synthetic Opportunity 04138,MICROWAVE,Q-404138,2/16/2025,QL-8004138,Synthetic Account 239,Prospect,Accepted,Pending,Synthetic User 39,Prepaid,Germany,Canada,ADP12055-T,14 weeks,7306,$278.97 ,"$2,038,154.82 ",Synthetic User 39,Synthetic User 39,Office 9,Distribution,45518,CS,,45551.77986,,45573,Synthetic note for record 04138,8560,OP270000568578,,No,8636,45650.89861,QN270000568673,45672.925,45683.93819,8731,45705,45716,Synthetic note for record 04138,8807,3826,Synthetic Qtr 04138,Synthetic Yr_Qtr 04138
Synthetic Opportunity 04137,RF,Q-404137,1/30/2025,QL-8004137,Synthetic Account 238,Customer,Draft,Not Required,Synthetic User 38,Net 30,Canada,United States,ADP12055-T,13 weeks,7169,$276.24 ,"$1,980,364.56 ",Synthetic User 38,Synthetic User 38,Office 8,Direct,45501,RF,,45534.68472,,45556,Synthetic note for record 04137,8423,OP270000568441,,Yes,8499,45633.80347,QN270000568536,45655.82986,45666.84306,8594,45688,45699,Synthetic note for record 04137,8670,3689,Synthetic Qtr 04137,Synthetic Yr_Qtr 04137
Synthetic Opportunity 04140,AMPLIFIERS,Q-404140,3/22/2025,QL-8004140,Synthetic Account 241,Customer,Presented,Not Required,Synthetic User 41,Net 30,United States,Japan,ADP12055-T,16 weeks,7580,$265.30 ,"$2,010,974.00 ",Synthetic User 41,Synthetic User 41,Office 1,Distribution,45552,RF,,45585.97014,,45607,Synthetic note for record 04140,8834,OP270000568852,,No,8910,45684.08889,QN270000568947,45706.11528,45717.12847,9005,45739,45750,Synthetic note for record 04140,9081,4100,Synthetic Qtr 04140,Synthetic Yr_Qtr 04140
Synthetic Opportunity 02639,FILTERS,Q-402639,7/18/2026,QL-8002639,Synthetic Account 240,Distributor,Expired,Approved,Synthetic User 40,Net 45,,Germany,ADP11870,19 weeks,1943,$223.04 ,"$433,366.72 ",Synthetic User 40,Synthetic User 40,Office 10,Direct,46035,MW,,46068.16667,,46090,,3197,OP270000363215,,Yes,3273,46167.28542,QN270000363310,46189.31181,46200.325,3368,46222,46233,Synthetic note for record 02639,3444,3463,Synthetic Qtr 02639,Synthetic Yr_Qtr 02639
Synthetic Opportunity 02638,MICROWAVE,Q-402638,7/1/2026,QL-8002638,Synthetic Account 239,Prospect,Accepted,Pending,Synthetic User 39,Prepaid,,Canada,ADP11870,18 weeks,1806,$219.81 ,"$396,976.86 ",Synthetic User 39,Synthetic User 39,Office 9,Distribution,46018,CS,,46051.07153,,46073,,3060,OP270000363078,,No,3136,46150.19028,QN270000363173,46172.21667,46183.22986,3231,46205,46216,Synthetic note for record 02638,3307,3326,Synthetic Qtr 02638,Synthetic Yr_Qtr 02638
Synthetic Opportunity 00704,AMPLIFIERS,Q-400704,2/4/2024,QL-8000704,Digikey,Distributor,Won,Approved,Synthetic User 5,Net 45,United States,Japan,ADP11871,4 weeks,6848,$199.24 ,"$1,364,395.52 ",Synthetic User 5,Synthetic User 5,Office 5,Distribution,46140,MW,,46173.07292,,46195,,8102,OP270000098120,,,8178,46272.19167,QN270000098215,45294.21806,,,45327,45338,Synthetic note for record 00704,8349,3368,Synthetic Qtr 00704,Synthetic Yr_Qtr 00704
Synthetic Opportunity 01384,AMPLIFIERS,Q-401384,8/17/2025,QL-8001384,Synthetic Account 185,Prospect,Presented,Pending,Synthetic User 35,Prepaid,United States,Japan,ADP11871,12 weeks,8,$199.24 ,"$1,593.92 ",Synthetic User 35,Synthetic User 35,Office 5,Distribution,45700,CS,,45733.76736,,45755,Synthetic note for record 01384,1262,OP270000191280,,,,45832.88611,QN270000191375,45854.9125,,,45887,45898,Synthetic note for record 01384,1509,1528,Synthetic Qtr 01384,Synthetic Yr_Qtr 01384
Synthetic Opportunity 02064,AMPLIFIERS,Q-402064,6/3/2024,QL-8002064,Digikey,Customer,Won,Not Required,Synthetic User 15,Net 30,United States,Japan,ADP11871,4 weeks,3168,$199.24 ,"$631,192.32 ",Synthetic User 15,Synthetic User 15,Office 5,Distribution,46260,RF,,45293.46181,,45315,,4422,OP270000284440,,,4498,45392.58056,QN270000284535,45414.60694,,,45447,45458,Synthetic note for record 02064,4669,4688,Synthetic Qtr 02064,Synthetic Yr_Qtr 02064
